disasterNumber,declarationType,declarationDate,declarationTitle,designatedArea
106,DR,1960-09-12 00:00:00+00:00,HURRICANE DONNA,Statewide
175,DR,1964-09-08 00:00:00+00:00,HURRICANE CLEO,Statewide
176,DR,1964-09-10 00:00:00+00:00,HURRICANE DORA,Statewide
209,DR,1965-09-14 00:00:00+00:00,HURRICANE BETSY,Monroe (County)
209,DR,1965-09-14 00:00:00+00:00,HURRICANE BETSY,Lee (County)
209,DR,1965-09-14 00:00:00+00:00,HURRICANE BETSY,Broward (County)
209,DR,1965-09-14 00:00:00+00:00,HURRICANE BETSY,St. Lucie (County)
209,DR,1965-09-14 00:00:00+00:00,HURRICANE BETSY,Martin (County)
209,DR,1965-09-14 00:00:00+00:00,HURRICANE BETSY,Collier (County)
209,DR,1965-09-14 00:00:00+00:00,HURRICANE BETSY,Dade (County)
209,DR,1965-09-14 00:00:00+00:00,HURRICANE BETSY,Glades (County)
209,DR,1965-09-14 00:00:00+00:00,HURRICANE BETSY,Hendry (County)
209,DR,1965-09-14 00:00:00+00:00,HURRICANE BETSY,Palm Beach (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Charlotte (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Pinellas (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Citrus (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Lee (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Duval (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,St. Johns (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Hernando (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Pasco (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Manatee (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Marion (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Putnam (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Hillsborough (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Sarasota (County)
252,DR,1968-11-07 00:00:00+00:00,HURRICANE GLADYS,Sumter (County)
600,DR,1979-09-13 00:00:00+00:00,HURRICANE FREDERIC,Bay (County)
600,DR,1979-09-13 00:00:00+00:00,HURRICANE FREDERIC,Walton (County)
600,DR,1979-09-13 00:00:00+00:00,HURRICANE FREDERIC,Escambia (County)
600,DR,1979-09-13 00:00:00+00:00,HURRICANE FREDERIC,Santa Rosa (County)
600,DR,1979-09-13 00:00:00+00:00,HURRICANE FREDERIC,Okaloosa (County)
743,DR,1985-09-12 00:00:00+00:00,HURRICANE ELENA,Franklin (County)
743,DR,1985-09-12 00:00:00+00:00,HURRICANE ELENA,Levy (County)
743,DR,1985-09-12 00:00:00+00:00,HURRICANE ELENA,Pinellas (County)
743,DR,1985-09-12 00:00:00+00:00,HURRICANE ELENA,Manatee (County)
743,DR,1985-09-12 00:00:00+00:00,HURRICANE ELENA,Dixie (County)
743,DR,1985-09-12 00:00:00+00:00,HURRICANE ELENA,Wakulla (County)
743,DR,1985-09-12 00:00:00+00:00,HURRICANE ELENA,Hillsborough (County)
756,DR,1985-12-03 00:00:00+00:00,HURRICANE KATE,Jefferson (County)
756,DR,1985-12-03 00:00:00+00:00,HURRICANE KATE,Franklin (County)
756,DR,1985-12-03 00:00:00+00:00,HURRICANE KATE,Gulf (County)
756,DR,1985-12-03 00:00:00+00:00,HURRICANE KATE,Calhoun (County)
756,DR,1985-12-03 00:00:00+00:00,HURRICANE KATE,Leon (County)
756,DR,1985-12-03 00:00:00+00:00,HURRICANE KATE,Wakulla (County)
756,DR,1985-12-03 00:00:00+00:00,HURRICANE KATE,Gadsden (County)
756,DR,1985-12-03 00:00:00+00:00,HURRICANE KATE,Liberty (County)
955,DR,1992-08-24 00:00:00+00:00,HURRICANE ANDREW,Broward (County)
955,DR,1992-08-24 00:00:00+00:00,HURRICANE ANDREW,Collier (County)
955,DR,1992-08-24 00:00:00+00:00,HURRICANE ANDREW,Monroe (County)
955,DR,1992-08-24 00:00:00+00:00,HURRICANE ANDREW,Dade (County)
3116,EM,1995-08-03 00:00:00+00:00,HURRICANE ERIN,Statewide
1062,DR,1995-08-10 00:00:00+00:00,HURRICANE ERIN,Santa Rosa (County)
1062,DR,1995-08-10 00:00:00+00:00,HURRICANE ERIN,Brevard (County)
1062,DR,1995-08-10 00:00:00+00:00,HURRICANE ERIN,Escambia (County)
1062,DR,1995-08-10 00:00:00+00:00,HURRICANE ERIN,Bay (County)
1062,DR,1995-08-10 00:00:00+00:00,HURRICANE ERIN,Okaloosa (County)
1062,DR,1995-08-10 00:00:00+00:00,HURRICANE ERIN,Walton (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Gulf (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Collier (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Holmes (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Franklin (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Walton (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Okaloosa (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Jackson (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Lee (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Calhoun (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Escambia (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Wakulla (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Santa Rosa (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Bay (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Washington (County)
1069,DR,1995-10-04 00:00:00+00:00,HURRICANE OPAL,Taylor (County)
1241,DR,1998-09-04 00:00:00+00:00,HURRICANE EARL,Franklin (County)
1241,DR,1998-09-04 00:00:00+00:00,HURRICANE EARL,Wakulla (County)
1241,DR,1998-09-04 00:00:00+00:00,HURRICANE EARL,Gulf (County)
1241,DR,1998-09-04 00:00:00+00:00,HURRICANE EARL,Bay (County)
1241,DR,1998-09-04 00:00:00+00:00,HURRICANE EARL,Taylor (County)
1241,DR,1998-09-04 00:00:00+00:00,HURRICANE EARL,Dixie (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Gulf (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Pinellas (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Jackson (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Charlotte (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Dade (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Hillsborough (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Santa Rosa (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Washington (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Palm Beach (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Highlands (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Broward (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Bay (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Walton (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Okaloosa (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Hernando (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Hardee (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Gadsden (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,DeSoto (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Suwannee (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Pasco (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Liberty (County)
3131,EM,1998-09-25 00:00:00+00:00,HURRICANE GRORGES,Lee (County)
