,Irma,Ian,Wilma,Frances,Jeanne,Charley,Ivan,Michael
32002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
32003,1285.0,1.0,0.0,133.0,138.0,0.0,8.0,138.0
32004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
32007,10.0,1.0,0.0,35.0,19.0,0.0,0.0,19.0
32008,687.0,0.0,0.0,147.0,190.0,2.0,0.0,190.0
32009,247.0,0.0,0.0,27.0,32.0,0.0,0.0,32.0
32011,1596.0,5.0,0.0,99.0,75.0,0.0,0.0,75.0
32013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
32014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32018,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32022,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32024,1885.0,4.0,0.0,506.0,404.0,0.0,0.0,404.0
32025,2468.0,4.0,0.0,641.0,436.0,0.0,0.0,436.0
32028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32029,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32032,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32033,398.0,109.0,0.0,172.0,76.0,5.0,5.0,76.0
32034,2019.0,2.0,0.0,111.0,89.0,0.0,0.0,89.0
32035,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
32037,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32038,1151.0,2.0,0.0,530.0,336.0,0.0,0.0,336.0
32039,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
32040,896.0,1.0,0.0,69.0,93.0,0.0,0.0,93.0
32041,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
32042,9.0,0.0,0.0,25.0,23.0,0.0,0.0,23.0
32043,2426.0,7.0,0.0,390.0,298.0,0.0,20.0,298.0
32044,248.0,0.0,0.0,127.0,93.0,0.0,0.0,93.0
32045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32046,723.0,1.0,0.0,66.0,33.0,0.0,0.0,33.0
32048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32050,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0
32052,298.0,3.0,0.0,0.0,120.0,0.0,0.0,120.0
32053,179.0,0.0,0.0,1.0,63.0,0.0,0.0,63.0
32054,1159.0,3.0,0.0,367.0,338.0,0.0,0.0,338.0
32055,2511.0,8.0,0.0,607.0,496.0,0.0,0.0,496.0
32056,5.0,0.0,0.0,23.0,22.0,0.0,0.0,22.0
32057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32058,544.0,1.0,0.0,129.0,219.0,0.0,1.0,219.0
32059,3.0,3.0,8.0,0.0,32.0,0.0,0.0,32.0
32060,2153.0,7.0,1.0,253.0,371.0,0.0,0.0,371.0
32061,36.0,0.0,0.0,12.0,13.0,0.0,0.0,13.0
32062,284.0,2.0,0.0,40.0,46.0,0.0,0.0,46.0
32063,1240.0,1.0,0.0,106.0,140.0,0.0,0.0,140.0
32064,1325.0,1.0,0.0,97.0,205.0,0.0,0.0,205.0
32065,2295.0,8.0,0.0,164.0,128.0,0.0,4.0,128.0
